,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
49,D058345,Asymptomatic Infections,Infections that do not exhibit symptoms.,https://meshb.nlm.nih.gov/record/ui?ui=D058345
50,D008403,Mass Screening,Organized periodic procedures performed on large groups of people for the purpose of detecting disease.,https://meshb.nlm.nih.gov/record/ui?ui=D008403
51,D018583,Pliability,"The quality or state of being able to be bent or creased repeatedly. (From Webster, 3d ed)",https://meshb.nlm.nih.gov/record/ui?ui=D018583
52,D015203,Reproducibility of Results,Consistency of measurements in a test/procedure/assessment that is repeated over time.,https://meshb.nlm.nih.gov/record/ui?ui=D015203
53,D012463,Saliva,"The clear, viscous fluid secreted by the SALIVARY GLANDS and mucous glands of the mouth. It contains MUCINS, water, organic salts, and ptylin.",https://meshb.nlm.nih.gov/record/ui?ui=D012463
54,D008014,Lie Detection,Ascertaining of deception through detection of emotional disturbance as manifested by changes in physiologic processes usually using a polygraph.,https://meshb.nlm.nih.gov/record/ui?ui=D008014
55,D004972,Estrus Detection,Methods for recognizing the state of ESTRUS.,https://meshb.nlm.nih.gov/record/ui?ui=D004972
56,D010061,Ovulation Detection,"Method to determine the occurrence of OVULATION by direct or indirect means. Indirect methods examine the effects of PROGESTERONE on cervical mucus (CERVIX MUCUS), or basal body temperature. Direct ovulation detection, generally used in fertility treatment, involves analyses of circulating hormones in blood and ULTRASONOGRAPHY.",https://meshb.nlm.nih.gov/record/ui?ui=D010061
57,D045473,SARS Virus,"A species of CORONAVIRUS causing atypical respiratory disease (SEVERE ACUTE RESPIRATORY SYNDROME) in humans. The organism is believed to have first emerged in Guangdong Province, China, in 2002. The natural host is the Chinese horseshoe bat, RHINOLOPHUS sinicus.",https://meshb.nlm.nih.gov/record/ui?ui=D045473
58,D000071896,Medically Unexplained Symptoms,Persistent health symptoms which remain unexplained after a complete medical evaluation. A cluster of symptoms that consistently appear together but without a known cause are referred to as a MEDICALLY UNEXPLAINED SYNDROME (MUS).,https://meshb.nlm.nih.gov/record/ui?ui=D000071896
60,D013036,"Spasms, Infantile","An epileptic syndrome characterized by the triad of infantile spasms, hypsarrhythmia, and arrest of psychomotor development at seizure onset. The majority present between 3-12 months of age, with spasms consisting of combinations of brief flexor or extensor movements of the head, trunk, and limbs. The condition is divided into two forms: cryptogenic (idiopathic) and symptomatic (secondary to a known disease process such as intrauterine infections; nervous system abnormalities; BRAIN DISEASES, METABOLIC, INBORN; prematurity; perinatal asphyxia; TUBEROUS SCLEROSIS; etc.). (From Menkes, Textbook of Child Neurology, 5th ed, pp744-8)",https://meshb.nlm.nih.gov/record/ui?ui=D013036
63,D010361,Patients,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",https://meshb.nlm.nih.gov/record/ui?ui=D010361
64,D028642,Mentally Ill Persons,"Persons with psychiatric illnesses or diseases, particularly psychotic and severe mood disorders.",https://meshb.nlm.nih.gov/record/ui?ui=D028642
65,D007297,Inpatients,"Persons admitted to health facilities which provide board and room, for the purpose of observation, care, diagnosis or treatment.",https://meshb.nlm.nih.gov/record/ui?ui=D007297
67,D055088,Early Detection of Cancer,Procedures performed on people to identify those who have NEOPLASMS or PRENEOPLASTIC CONDITIONS.,https://meshb.nlm.nih.gov/record/ui?ui=D055088
68,D004353,"Drug Evaluation, Preclinical",Preclinical testing of drugs in experimental animals or in vitro for their biological and toxic effects and potential clinical applications.,https://meshb.nlm.nih.gov/record/ui?ui=D004353
69,D005820,Genetic Testing,"Searching a population or individuals for persons possessing any of a set of certain gene mutations, genotypes, or karyotypes that: (1) are already associated with disease or predispose to disease; (2) may lead to disease in their descendants; or (3) produce other variations not known to be associated with disease. Genetic screening may be directed toward identifying phenotypic expression of genetic traits. It includes prenatal genetic screening.",https://meshb.nlm.nih.gov/record/ui?ui=D005820
70,D046148,Donor Selection,"The procedure established to evaluate the donated TISSUES or organs prior to selection for reuse. Donated specimens may be disqualified for reuse due to deteriorating conditions and risk factors, such as INFECTIONS, and HEREDITARY DISEASES.",https://meshb.nlm.nih.gov/record/ui?ui=D046148
71,D004358,Drug Therapy,The use of DRUGS to treat a DISEASE or its symptoms. One example is the use of ANTINEOPLASTIC AGENTS to treat CANCER.,https://meshb.nlm.nih.gov/record/ui?ui=D004358
72,D018380,Hematopoietic Stem Cell Transplantation,"Transfer of HEMATOPOIETIC STEM CELLS from BONE MARROW or BLOOD between individuals within the same species (TRANSPLANTATION, HOMOLOGOUS) or transfer within the same individual (TRANSPLANTATION, AUTOLOGOUS). Hematopoietic stem cell transplantation has been used as an alternative to BONE MARROW TRANSPLANTATION in the treatment of a variety of neoplasms.",https://meshb.nlm.nih.gov/record/ui?ui=D018380
73,D006412,Hematopoietic Stem Cells,Progenitor cells from which all blood cells derived. They are found primarily in the bone marrow and also in small numbers in the peripheral blood.,https://meshb.nlm.nih.gov/record/ui?ui=D006412
74,D033581,Stem Cell Transplantation,"The transfer of STEM CELLS from one individual to another within the same species (TRANSPLANTATION, HOMOLOGOUS) or between species (XENOTRANSPLANTATION), or transfer within the same individual (TRANSPLANTATION, AUTOLOGOUS). The source and location of the stem cells determines their potency or pluripotency to differentiate into various cell types.",https://meshb.nlm.nih.gov/record/ui?ui=D033581
75,D016465,Bone Marrow Purging,"Techniques for the removal of subpopulations of cells (usually residual tumor cells) from the bone marrow ex vivo before it is infused. The purging is achieved by a variety of agents including pharmacologic agents, biophysical agents (laser photoirradiation or radioisotopes) and immunologic agents. Bone marrow purging is used in both autologous and allogeneic BONE MARROW TRANSPLANTATION.",https://meshb.nlm.nih.gov/record/ui?ui=D016465
76,D008279,Magnetic Resonance Imaging,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,https://meshb.nlm.nih.gov/record/ui?ui=D008279
77,D019028,"Magnetic Resonance Imaging, Cine","A type of imaging technique used primarily in the field of cardiology. By coordinating the fast gradient-echo MRI sequence with retrospective ECG-gating, numerous short time frames evenly spaced in the cardiac cycle are produced. These images are laced together in a cinematic display so that wall motion of the ventricles, valve motion, and blood flow patterns in the heart and great vessels can be visualized.",https://meshb.nlm.nih.gov/record/ui?ui=D019028
78,D053783,"Magnetic Resonance Imaging, Interventional",Minimally invasive procedures guided with the aid of magnetic resonance imaging to visualize tissue structures.,https://meshb.nlm.nih.gov/record/ui?ui=D053783
79,D009682,Magnetic Resonance Spectroscopy,"Spectroscopic method of measuring the magnetic moment of elementary particles such as atomic nuclei, protons or electrons. It is employed in clinical applications such as NMR Tomography (MAGNETIC RESONANCE IMAGING).",https://meshb.nlm.nih.gov/record/ui?ui=D009682
80,D018810,Magnetic Resonance Angiography,"A diagnostic technique for measuring the rate at which blood is delivered to tissue. In perfusion MRI, an exogenous contrast agent is usually injected to provide superior tissue contrast and easy delineation of perfusion abnormalities. Endogenous markers can also be used.",https://meshb.nlm.nih.gov/record/ui?ui=D018810
81,D009103,Multiple Sclerosis,"An autoimmune disorder mainly affecting young adults and characterized by destruction of myelin in the central nervous system. Pathologic findings include multiple sharply demarcated areas of demyelination throughout the white matter of the central nervous system. Clinical manifestations include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction. The usual pattern is one of recurrent attacks followed by partial recovery (see MULTIPLE SCLEROSIS, RELAPSING-REMITTING), but acute fulminating and chronic progressive forms (see MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE) also occur. (Adams et al., Principles of Neurology, 6th ed, p903)",https://meshb.nlm.nih.gov/record/ui?ui=D009103
82,D020529,"Multiple Sclerosis, Relapsing-Remitting","The most common clinical variant of MULTIPLE SCLEROSIS, characterized by recurrent acute exacerbations of neurologic dysfunction followed by partial or complete recovery. Common clinical manifestations include loss of visual (see OPTIC NEURITIS), motor, sensory, or bladder function. Acute episodes of demyelination may occur at any site in the central nervous system, and commonly involve the optic nerves, spinal cord, brain stem, and cerebellum. (Adams et al., Principles of Neurology, 6th ed, pp903-914)",https://meshb.nlm.nih.gov/record/ui?ui=D020529
83,D020528,"Multiple Sclerosis, Chronic Progressive","A form of multiple sclerosis characterized by a progressive deterioration in neurologic function which is in contrast to the more typical relapsing remitting form. If the clinical course is free of distinct remissions, it is referred to as primary progressive multiple sclerosis. When the progressive decline is punctuated by acute exacerbations, it is referred to as progressive relapsing multiple sclerosis. The term secondary progressive multiple sclerosis is used when relapsing remitting multiple sclerosis evolves into the chronic progressive form. (From Ann Neurol 1994;36 Suppl:S73-S79; Adams et al., Principles of Neurology, 6th ed, pp903-914)",https://meshb.nlm.nih.gov/record/ui?ui=D020528
84,D007165,Immunosuppression,Deliberate prevention or diminution of the host's immune response. It may be nonspecific as in the administration of immunosuppressive agents (drugs or radiation) or by lymphocyte depletion or may be specific as in desensitization or the simultaneous administration of antigen and immunosuppressive drugs.,https://meshb.nlm.nih.gov/record/ui?ui=D007165
85,D001324,Autoantigens,Endogenous tissue constituents that have the ability to interact with AUTOANTIBODIES and cause an immune response.,https://meshb.nlm.nih.gov/record/ui?ui=D001324
86,D064592,Autografts,"Transplant comprised of an individual's own tissue, transferred from one part of the body to another.",https://meshb.nlm.nih.gov/record/ui?ui=D064592
87,D014182,"Transplantation, Autologous",Transplantation of an individual's own tissue from one site to another site.,https://meshb.nlm.nih.gov/record/ui?ui=D014182
89,D000077287,Levetiracetam,"A pyrrolidinone and acetamide derivative that is used primarily for the treatment of SEIZURES and some movement disorders, and as a nootropic agent.",https://meshb.nlm.nih.gov/record/ui?ui=D000077287
90,D015201,Meta-Analysis as Topic,"A quantitative method of combining the results of independent studies (usually drawn from the published literature) and synthesizing summaries and conclusions which may be used to evaluate therapeutic effectiveness, plan new studies, etc., with application chiefly in the areas of research and medicine.",https://meshb.nlm.nih.gov/record/ui?ui=D015201
91,D000071076,Network Meta-Analysis,Meta-analysis of randomized trials in which estimates of comparative treatment effects are visualized and interpreted from a network of interventions that may or may not have been evaluated directly against each other. Common considerations in network meta-analysis include conceptual and statistical heterogeneity and incoherence.,https://meshb.nlm.nih.gov/record/ui?ui=D000071076
92,D010672,Phenytoin,"An anticonvulsant that is used to treat a wide variety of seizures. It is also an anti-arrhythmic and a muscle relaxant. The mechanism of therapeutic action is not clear, although several cellular actions have been described including effects on ion channels, active transport, and general membrane stabilization. The mechanism of its muscle relaxant effect appears to involve a reduction in the sensitivity of muscle spindles to stretch. Phenytoin has been proposed for several other therapeutic uses, but its use has been limited by its many adverse effects and interactions with other drugs.",https://meshb.nlm.nih.gov/record/ui?ui=D010672
93,D008617,Mephenytoin,"An anticonvulsant effective in tonic-clonic epilepsy (EPILEPSY, TONIC-CLONIC). It may cause blood dyscrasias.",https://meshb.nlm.nih.gov/record/ui?ui=D008617
94,D013226,Status Epilepticus,"A prolonged seizure or seizures repeated frequently enough to prevent recovery between episodes occurring over a period of 20-30 minutes. The most common subtype is generalized tonic-clonic status epilepticus, a potentially fatal condition associated with neuronal injury and respiratory and metabolic dysfunction. Nonconvulsive forms include petit mal status and complex partial status, which may manifest as behavioral disturbances. Simple partial status epilepticus consists of persistent motor, sensory, or autonomic seizures that do not impair cognition (see also EPILEPSIA PARTIALIS CONTINUA). Subclinical status epilepticus generally refers to seizures occurring in an unresponsive or comatose individual in the absence of overt signs of seizure activity. (From N Engl J Med 1998 Apr 2;338(14):970-6; Neurologia 1997 Dec;12 Suppl 6:25-30)",https://meshb.nlm.nih.gov/record/ui?ui=D013226
95,D016896,Treatment Outcome,"Evaluation undertaken to assess the results or consequences of management and procedures used in combating disease in order to determine the efficacy, effectiveness, safety, and practicability of these interventions in individual cases or series.",https://meshb.nlm.nih.gov/record/ui?ui=D016896
96,D020377,Self Efficacy,"Cognitive mechanism based on expectations or beliefs about one's ability to perform actions necessary to produce a given effect. It is also a theoretical component of behavior change in various therapeutic treatments. (APA, Thesaurus of Psychological Index Terms, 1994)",https://meshb.nlm.nih.gov/record/ui?ui=D020377
97,D012449,Safety,"Freedom from exposure to danger and protection from the occurrence or risk of injury or loss. It suggests optimal precautions in the workplace, on the street, in the home, etc., and includes personal safety as well as the safety of property.",https://meshb.nlm.nih.gov/record/ui?ui=D012449
98,D059022,Food Safety,Activities involved in ensuring the safety of FOOD including avoidance of bacterial and other contamination.,https://meshb.nlm.nih.gov/record/ui?ui=D059022
99,D061214,Patient Safety,"Efforts to reduce risk, to address and reduce incidents and accidents that may negatively impact healthcare consumers.",https://meshb.nlm.nih.gov/record/ui?ui=D061214
100,D005135,Eye Protective Devices,"Personal devices for protection of the eyes from impact, flying objects, glare, liquids, or injurious radiation.",https://meshb.nlm.nih.gov/record/ui?ui=D005135
101,D062067,Chemical Safety,Measures and or processes implemented to reduce and or eliminate hazards associated with chemicals.,https://meshb.nlm.nih.gov/record/ui?ui=D062067
103,D013812,Therapeutics,Procedures concerned with the remedial treatment or prevention of diseases.,https://meshb.nlm.nih.gov/record/ui?ui=D013812
104,D019233,Retreatment,"The therapy of the same disease in a patient, with the same agent or procedure repeated after initial treatment, or with an additional or alternate measure or follow-up. It does not include therapy which requires more than one administration of a therapeutic agent or regimen. Retreatment is often used with reference to a different modality when the original one was inadequate, harmful, or unsuccessful.",https://meshb.nlm.nih.gov/record/ui?ui=D019233
105,D015199,Extracorporeal Membrane Oxygenation,"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger. Examples of its use are to assist victims of SMOKE INHALATION INJURY; RESPIRATORY FAILURE; and CARDIAC FAILURE.",https://meshb.nlm.nih.gov/record/ui?ui=D015199
106,D017048,Health Care Costs,"The actual costs of providing services related to the delivery of health care, including the costs of procedures, therapies, and medications. It is differentiated from HEALTH EXPENDITURES, which refers to the amount of money paid for the services, and from fees, which refers to the amount charged, regardless of cost.",https://meshb.nlm.nih.gov/record/ui?ui=D017048
107,D018508,Water Purification,Processes used to make water more acceptable for a desired end-use,https://meshb.nlm.nih.gov/record/ui?ui=D018508
111,D016032,Randomized Controlled Trials as Topic,"Works about clinical trials that involve at least one test treatment and one control treatment, concurrent enrollment and follow-up of the test- and control-treated groups, and in which the treatments to be administered are selected by a random process, such as the use of a random-numbers table.",https://meshb.nlm.nih.gov/record/ui?ui=D016032
112,D065228,Non-Randomized Controlled Trials as Topic,"Works about a study where participants are assigned to a treatment, procedure, or intervention by methods that are not random. Non-randomized clinical trials are sometimes referred to as quasi-experimental clinical trials or non-equivalent control group designs.",https://meshb.nlm.nih.gov/record/ui?ui=D065228
113,D015850,Interleukin-6,A cytokine that stimulates the growth and differentiation of B-LYMPHOCYTES and is also a growth factor for HYBRIDOMAS and plasmacytomas. It is produced by many different cells including T-LYMPHOCYTES; MONOCYTES; and FIBROBLASTS.,https://meshb.nlm.nih.gov/record/ui?ui=D015850
114,D053633,"Receptor, Interferon alpha-beta",The full-length variant of the IFNAR2 chain.,https://meshb.nlm.nih.gov/record/ui?ui=D053633
115,D000077190,Interferon alpha-2,A recombinant form of interferon alpha-2. This variant has LYSINE at position 23 and HISTIDINE at position 34.,https://meshb.nlm.nih.gov/record/ui?ui=D000077190
116,D016898,Interferon-alpha,"One of the type I interferons produced by peripheral blood leukocytes or lymphoblastoid cells. In addition to antiviral activity, it activates NATURAL KILLER CELLS and B-LYMPHOCYTES, and down-regulates VASCULAR ENDOTHELIAL GROWTH FACTOR expression through PI-3 KINASE and MAPK KINASES signaling pathways.",https://meshb.nlm.nih.gov/record/ui?ui=D016898
117,D000068576,Interferon beta-1b,A non-glycosylated form of interferon beta-1 that has a serine at position 17. It is used in the treatment of both RELAPSING-REMITTING MULTIPLE SCLEROSIS and CHRONIC PROGRESSIVE MULTIPLE SCLEROSIS.,https://meshb.nlm.nih.gov/record/ui?ui=D000068576
118,D007443,Intussusception,"A form of intestinal obstruction caused by the PROLAPSE of a part of the intestine into the adjoining intestinal lumen. There are four types: colic, involving segments of the LARGE INTESTINE; enteric, involving only the SMALL INTESTINE; ileocecal, in which the ILEOCECAL VALVE prolapses into the CECUM, drawing the ILEUM along with it; and ileocolic, in which the ileum prolapses through the ileocecal valve into the COLON.",https://meshb.nlm.nih.gov/record/ui?ui=D007443
119,D012401,Rotavirus,A strain of the species Rotavirus A.,https://meshb.nlm.nih.gov/record/ui?ui=D012401
120,D012400,Rotavirus Infections,"Infection with any of the rotaviruses. Specific infections include human infantile diarrhea, neonatal calf diarrhea, and epidemic diarrhea of infant mice.",https://meshb.nlm.nih.gov/record/ui?ui=D012400
121,D022243,Rotavirus Vaccines,Vaccines or candidate vaccines used to prevent infection with ROTAVIRUS.,https://meshb.nlm.nih.gov/record/ui?ui=D022243
122,D014611,Vaccination,Administration of vaccines to stimulate the host's immune response. This includes any preparation intended for active immunological prophylaxis.,https://meshb.nlm.nih.gov/record/ui?ui=D014611
123,D032541,Mass Vaccination,Administration of a vaccine to large populations in order to elicit IMMUNITY.,https://meshb.nlm.nih.gov/record/ui?ui=D032541
124,D017589,Immunization Programs,"Organized services to administer immunization procedures in the prevention of various diseases. The programs are made available over a wide range of sites: schools, hospitals, public health agencies, voluntary health agencies, etc. They are administered to an equally wide range of population groups or on various administrative levels: community, municipal, state, national, international.",https://meshb.nlm.nih.gov/record/ui?ui=D017589
125,D007117,"Immunization, Secondary",Any immunization following a primary immunization and involving exposure to the same or a closely related antigen.,https://meshb.nlm.nih.gov/record/ui?ui=D007117
126,D017778,"Vaccines, Combined",Two or more vaccines in a single dosage form.,https://meshb.nlm.nih.gov/record/ui?ui=D017778
